ID,DOMAIN,ROSTER_PATTERN_ID,PREFERENCE_1,PREFERENCE_2,PREFERENCE_3,PREFERENCE_4,PREFERENCE_5
Employee_0,Area_0,RP_62,RP_62,RP_69,RP_11,RP_4,RP_94
Employee_1,Area_0,RP_53,RP_53,RP_38,RP_88,,
Employee_2,Area_0,RP_88,RP_88,,,,
Employee_3,Area_0,RP_84,RP_84,,,,
Employee_4,Area_0,RP_65,RP_65,RP_47,RP_33,RP_42,
Employee_5,Area_0,RP_79,RP_79,,,,
Employee_6,Area_0,RP_94,RP_94,RP_62,RP_1,RP_14,RP_41
Employee_7,Area_0,RP_8,RP_8,RP_35,RP_47,RP_10,
Employee_8,Area_0,RP_50,RP_50,,,,
Employee_9,Area_0,RP_16,RP_16,RP_40,,,
Employee_10,Area_0,RP_1,RP_1,,,,
Employee_11,Area_0,RP_91,RP_91,RP_67,,,
Employee_12,Area_0,RP_35,RP_35,RP_86,,,
Employee_13,Area_0,RP_40,RP_40,,,,
Employee_14,Area_0,RP_28,RP_28,RP_75,RP_63,RP_3,RP_94
Employee_15,Area_0,RP_67,RP_67,RP_92,RP_60,,
Employee_16,Area_0,RP_79,RP_79,RP_86,RP_56,RP_73,
Employee_17,Area_0,RP_46,RP_46,RP_60,RP_74,RP_8,RP_20
Employee_18,Area_0,RP_62,RP_62,RP_21,,,
Employee_19,Area_0,RP_98,RP_98,RP_46,RP_8,,
Employee_20,Area_0,RP_21,RP_21,RP_88,RP_62,RP_18,
Employee_21,Area_0,RP_71,RP_71,RP_93,,,
Employee_22,Area_0,RP_24,RP_24,RP_13,RP_57,RP_32,RP_36
Employee_23,Area_0,RP_63,RP_63,RP_88,RP_24,RP_62,
Employee_24,Area_0,RP_49,RP_49,RP_94,,,
Employee_25,Area_0,RP_73,RP_73,RP_99,RP_85,,
Employee_26,Area_0,RP_72,RP_72,,,,
Employee_27,Area_0,RP_68,RP_68,RP_44,RP_16,,
Employee_28,Area_0,RP_29,RP_29,,,,
Employee_29,Area_0,RP_50,RP_50,,,,
Employee_30,Area_0,RP_83,RP_83,RP_95,,,
Employee_31,Area_0,RP_75,RP_75,RP_58,RP_24,RP_72,
Employee_32,Area_0,RP_24,RP_24,RP_50,RP_88,,
Employee_33,Area_0,RP_5,RP_5,RP_87,RP_50,RP_34,RP_26
Employee_34,Area_0,RP_83,RP_83,RP_1,RP_69,RP_57,
Employee_35,Area_0,RP_87,RP_87,RP_0,RP_94,RP_71,RP_54
Employee_36,Area_0,RP_6,RP_6,RP_11,RP_57,,
Employee_37,Area_0,RP_65,RP_65,RP_43,RP_61,RP_17,RP_44
Employee_38,Area_0,RP_56,RP_56,RP_43,RP_81,RP_84,
Employee_39,Area_0,RP_46,RP_46,,,,
Employee_40,Area_0,RP_67,RP_67,RP_10,RP_90,RP_35,RP_79
Employee_41,Area_0,RP_30,RP_30,RP_47,RP_84,RP_42,
Employee_42,Area_0,RP_71,RP_71,,,,
Employee_43,Area_0,RP_23,RP_23,RP_44,,,
Employee_44,Area_0,RP_52,RP_52,RP_28,,,
Employee_45,Area_0,RP_22,RP_22,RP_2,RP_83,RP_88,RP_87
Employee_46,Area_0,RP_14,RP_14,RP_21,RP_54,RP_70,RP_1
Employee_47,Area_0,RP_64,RP_64,RP_63,,,
Employee_48,Area_0,RP_70,RP_70,RP_76,RP_34,RP_7,
Employee_49,Area_0,RP_77,RP_77,,,,
Employee_50,Area_0,RP_76,RP_76,,,,
Employee_51,Area_0,RP_84,RP_84,RP_73,RP_16,RP_23,
Employee_52,Area_0,RP_84,RP_84,RP_60,RP_10,RP_8,
Employee_53,Area_0,RP_38,RP_38,RP_6,RP_52,RP_32,
Employee_54,Area_0,RP_38,RP_38,RP_87,RP_19,RP_63,
Employee_55,Area_0,RP_59,RP_59,RP_45,RP_80,,
Employee_56,Area_0,RP_83,RP_83,,,,
Employee_57,Area_0,RP_64,RP_64,RP_32,,,
Employee_58,Area_0,RP_51,RP_51,RP_66,RP_86,RP_33,RP_68
Employee_59,Area_0,RP_2,RP_2,RP_97,,,
Employee_60,Area_0,RP_3,RP_3,,,,
Employee_61,Area_0,RP_75,RP_75,RP_70,RP_26,,
Employee_62,Area_0,RP_99,RP_99,RP_10,RP_60,RP_23,
Employee_63,Area_0,RP_62,RP_62,RP_70,RP_93,RP_95,
Employee_64,Area_0,RP_71,RP_71,RP_7,RP_82,,
Employee_65,Area_0,RP_33,RP_33,RP_23,RP_45,,
Employee_66,Area_0,RP_69,RP_69,RP_22,RP_75,,
Employee_67,Area_0,RP_12,RP_12,,,,
Employee_68,Area_0,RP_95,RP_95,RP_50,RP_12,RP_5,RP_37
Employee_69,Area_0,RP_71,RP_71,RP_64,RP_5,,
Employee_70,Area_0,RP_2,RP_2,RP_18,RP_69,,
Employee_71,Area_0,RP_36,RP_36,,,,
Employee_72,Area_0,RP_98,RP_98,,,,
Employee_73,Area_0,RP_37,RP_37,,,,
Employee_74,Area_0,RP_50,RP_50,RP_18,RP_32,RP_3,RP_89
Employee_75,Area_0,RP_52,RP_52,RP_26,RP_63,RP_87,
Employee_76,Area_0,RP_42,RP_42,RP_85,RP_98,RP_16,
Employee_77,Area_0,RP_87,RP_87,,,,
Employee_78,Area_0,RP_5,RP_5,RP_69,RP_13,,
Employee_79,Area_0,RP_50,RP_50,RP_3,,,
Employee_80,Area_0,RP_25,RP_25,RP_98,RP_39,RP_60,RP_16
Employee_81,Area_0,RP_14,RP_14,RP_96,RP_89,RP_22,
Employee_82,Area_0,RP_8,RP_8,RP_16,RP_65,RP_68,RP_35
Employee_83,Area_0,RP_90,RP_90,RP_40,RP_33,,
Employee_84,Area_0,RP_33,RP_33,,,,
Employee_85,Area_0,RP_70,RP_70,RP_71,RP_4,RP_88,
Employee_86,Area_0,RP_7,RP_7,RP_13,RP_88,RP_38,
Employee_87,Area_0,RP_9,RP_9,RP_24,RP_96,RP_37,RP_48
Employee_88,Area_0,RP_38,RP_38,RP_50,RP_93,,
Employee_89,Area_0,RP_29,RP_29,RP_45,RP_40,RP_81,RP_20
Employee_90,Area_0,RP_15,RP_15,RP_68,RP_65,RP_20,
Employee_91,Area_0,RP_58,RP_58,RP_41,RP_70,,
Employee_92,Area_0,RP_52,RP_52,,,,
Employee_93,Area_0,RP_90,RP_90,RP_60,RP_39,,
Employee_94,Area_0,RP_7,RP_7,,,,
Employee_95,Area_0,RP_2,RP_2,,,,
Employee_96,Area_0,RP_32,RP_32,,,,
Employee_97,Area_0,RP_16,RP_16,RP_44,RP_67,,
Employee_98,Area_0,RP_76,RP_76,RP_82,RP_89,,
Employee_99,Area_0,RP_71,RP_71,,,,
Employee_100,Area_0,RP_54,RP_54,RP_96,RP_6,RP_95,RP_53
Employee_101,Area_0,RP_46,RP_46,RP_91,RP_66,,
Employee_102,Area_0,RP_18,RP_18,,,,
Employee_103,Area_0,RP_68,RP_68,RP_91,RP_79,,
Employee_104,Area_0,RP_83,RP_83,RP_82,RP_2,RP_96,RP_38
Employee_105,Area_0,RP_65,RP_65,RP_99,RP_56,,
Employee_106,Area_0,RP_35,RP_35,RP_30,RP_20,RP_67,RP_86
Employee_107,Area_0,RP_99,RP_99,RP_74,RP_66,RP_90,
Employee_108,Area_0,RP_54,RP_54,RP_50,RP_87,RP_88,
Employee_109,Area_0,RP_21,RP_21,RP_11,RP_95,RP_97,
Employee_110,Area_0,RP_77,RP_77,RP_98,RP_44,RP_74,
Employee_111,Area_0,RP_95,RP_95,,,,
Employee_112,Area_0,RP_89,RP_89,,,,
Employee_113,Area_0,RP_11,RP_11,RP_5,RP_53,RP_49,
Employee_114,Area_0,RP_10,RP_10,RP_92,RP_16,RP_81,RP_29