EMPLOYEE_ID,SKILL_ID,SKILL_PREFERENCE
Employee_0,SKILL_2,10
Employee_0,SKILL_4,4
Employee_0,SKILL_5,8
Employee_0,SKILL_16,4
Employee_1,SKILL_1,10
Employee_1,SKILL_15,9
Employee_2,SKILL_1,8
Employee_2,SKILL_2,8
Employee_2,SKILL_5,8
Employee_2,SKILL_9,3
Employee_2,SKILL_12,1
Employee_3,SKILL_1,9
Employee_3,SKILL_6,10
Employee_3,SKILL_8,5
Employee_4,SKILL_0,9
Employee_4,SKILL_2,5
Employee_5,SKILL_2,2
Employee_5,SKILL_3,9
Employee_5,SKILL_5,6
Employee_5,SKILL_7,10
Employee_6,SKILL_1,1
Employee_6,SKILL_3,5
Employee_6,SKILL_9,3
Employee_6,SKILL_16,5
Employee_6,SKILL_17,6
Employee_7,SKILL_3,6
Employee_7,SKILL_4,1
Employee_7,SKILL_9,10
Employee_8,SKILL_2,9
Employee_8,SKILL_16,2
Employee_9,SKILL_1,2
Employee_10,SKILL_2,5
Employee_10,SKILL_3,3
Employee_10,SKILL_4,4
Employee_10,SKILL_13,8
Employee_11,SKILL_3,10
Employee_11,SKILL_5,4
Employee_11,SKILL_10,7
Employee_12,SKILL_10,3
Employee_13,SKILL_7,9
Employee_14,SKILL_9,8
Employee_15,SKILL_2,8
Employee_15,SKILL_3,4
Employee_15,SKILL_4,9
Employee_15,SKILL_7,3
Employee_16,SKILL_7,7
Employee_17,SKILL_9,9
Employee_17,SKILL_10,7
Employee_17,SKILL_12,6
Employee_17,SKILL_13,1
Employee_17,SKILL_16,1
Employee_18,SKILL_7,9
Employee_18,SKILL_16,9
Employee_19,SKILL_2,5
Employee_19,SKILL_10,7
Employee_19,SKILL_13,1
Employee_19,SKILL_14,2
Employee_19,SKILL_17,6
Employee_20,SKILL_0,10
Employee_20,SKILL_1,7
Employee_20,SKILL_7,4
Employee_20,SKILL_14,9
Employee_21,SKILL_7,9
Employee_21,SKILL_13,7
Employee_22,SKILL_2,1
Employee_22,SKILL_3,5
Employee_22,SKILL_6,4
Employee_22,SKILL_14,6
Employee_23,SKILL_0,9
Employee_23,SKILL_4,2
Employee_24,SKILL_3,6
Employee_24,SKILL_4,8
Employee_24,SKILL_6,4
Employee_24,SKILL_7,9
Employee_24,SKILL_12,1
Employee_25,SKILL_0,8
Employee_25,SKILL_4,10
Employee_25,SKILL_7,5
Employee_25,SKILL_13,6
Employee_26,SKILL_3,7
Employee_26,SKILL_7,6
Employee_26,SKILL_10,3
Employee_27,SKILL_2,10
Employee_27,SKILL_11,7
Employee_27,SKILL_12,10
Employee_28,SKILL_0,5
Employee_28,SKILL_3,7
Employee_28,SKILL_9,4
Employee_28,SKILL_16,4
Employee_29,SKILL_1,5
Employee_29,SKILL_4,8
Employee_30,SKILL_0,2
Employee_31,SKILL_1,10
Employee_31,SKILL_5,5
Employee_31,SKILL_14,5
Employee_31,SKILL_16,6
Employee_31,SKILL_17,6
Employee_32,SKILL_0,7
Employee_32,SKILL_3,6
Employee_32,SKILL_6,1
Employee_32,SKILL_13,1
Employee_33,SKILL_7,1
Employee_33,SKILL_10,3
Employee_34,SKILL_3,10
Employee_34,SKILL_13,1
Employee_35,SKILL_0,4
Employee_35,SKILL_3,3
Employee_35,SKILL_6,8
Employee_35,SKILL_12,6
Employee_35,SKILL_16,10
Employee_36,SKILL_3,6
Employee_36,SKILL_4,5
Employee_36,SKILL_16,5
Employee_37,SKILL_1,5
Employee_37,SKILL_3,4
Employee_37,SKILL_4,7
Employee_37,SKILL_12,10
Employee_37,SKILL_13,10
Employee_38,SKILL_2,1
Employee_38,SKILL_12,2
Employee_38,SKILL_13,9
Employee_38,SKILL_16,10
Employee_39,SKILL_1,6
Employee_39,SKILL_7,5
Employee_39,SKILL_12,7
Employee_40,SKILL_0,10
Employee_40,SKILL_1,2
Employee_40,SKILL_13,5
Employee_40,SKILL_14,5
Employee_41,SKILL_1,4
Employee_42,SKILL_3,5
Employee_42,SKILL_13,5
Employee_43,SKILL_5,6
Employee_43,SKILL_15,5
Employee_43,SKILL_17,9
Employee_44,SKILL_0,7
Employee_45,SKILL_1,9
Employee_45,SKILL_6,4
Employee_45,SKILL_9,8
Employee_46,SKILL_1,4
Employee_46,SKILL_3,9
Employee_46,SKILL_5,8
Employee_46,SKILL_6,2
Employee_46,SKILL_7,7
Employee_47,SKILL_3,7
Employee_48,SKILL_0,7
Employee_48,SKILL_1,8
Employee_48,SKILL_4,7
Employee_48,SKILL_8,1
Employee_48,SKILL_14,4
Employee_49,SKILL_0,6
Employee_49,SKILL_4,5
Employee_50,SKILL_6,1
Employee_50,SKILL_7,4
Employee_50,SKILL_15,4
Employee_50,SKILL_16,1
Employee_51,SKILL_1,4
Employee_51,SKILL_5,9
Employee_51,SKILL_6,1
Employee_51,SKILL_13,9
Employee_51,SKILL_16,10
Employee_52,SKILL_5,7
Employee_52,SKILL_9,6
Employee_52,SKILL_10,8
Employee_52,SKILL_12,3
Employee_52,SKILL_16,1
Employee_53,SKILL_0,2
Employee_53,SKILL_5,7
Employee_53,SKILL_6,7
Employee_53,SKILL_10,2
Employee_53,SKILL_16,1
Employee_54,SKILL_3,5
Employee_55,SKILL_7,4
Employee_55,SKILL_15,2
Employee_56,SKILL_0,9
Employee_56,SKILL_3,6
Employee_56,SKILL_5,10
Employee_56,SKILL_12,1
Employee_56,SKILL_14,8
Employee_57,SKILL_8,10
Employee_58,SKILL_3,3
Employee_58,SKILL_17,10
Employee_59,SKILL_3,7
Employee_59,SKILL_5,1
Employee_59,SKILL_7,1
Employee_60,SKILL_4,6
Employee_60,SKILL_5,7
Employee_61,SKILL_2,6
Employee_61,SKILL_6,7
Employee_61,SKILL_9,7
Employee_62,SKILL_1,1
Employee_62,SKILL_6,2
Employee_63,SKILL_1,10
Employee_63,SKILL_6,7
Employee_63,SKILL_9,10
Employee_63,SKILL_15,10
Employee_64,SKILL_0,3
Employee_64,SKILL_1,2
Employee_64,SKILL_6,10
Employee_65,SKILL_0,10
Employee_65,SKILL_2,6
Employee_65,SKILL_10,9
Employee_65,SKILL_16,9
Employee_66,SKILL_6,3
Employee_66,SKILL_11,9
Employee_67,SKILL_2,4
Employee_67,SKILL_5,9
Employee_67,SKILL_6,5
Employee_67,SKILL_9,8
Employee_67,SKILL_12,8
Employee_68,SKILL_0,10
Employee_68,SKILL_1,7
Employee_68,SKILL_14,5
Employee_68,SKILL_15,1
Employee_69,SKILL_1,1
Employee_69,SKILL_4,6
Employee_69,SKILL_7,4
Employee_69,SKILL_10,3
Employee_70,SKILL_1,5
Employee_70,SKILL_7,5
Employee_70,SKILL_10,9
Employee_70,SKILL_12,9
Employee_70,SKILL_16,10
Employee_71,SKILL_1,4
Employee_72,SKILL_3,3
Employee_72,SKILL_12,7
Employee_72,SKILL_13,8
Employee_72,SKILL_16,2
Employee_73,SKILL_4,6
Employee_73,SKILL_14,2
Employee_74,SKILL_2,5
Employee_74,SKILL_4,7
Employee_74,SKILL_6,9
Employee_74,SKILL_15,4
Employee_75,SKILL_0,10
Employee_75,SKILL_1,2
Employee_75,SKILL_6,9
Employee_76,SKILL_10,9
Employee_76,SKILL_14,4
Employee_77,SKILL_4,5
Employee_78,SKILL_0,10
Employee_78,SKILL_2,5
Employee_78,SKILL_4,3
Employee_78,SKILL_5,5
Employee_78,SKILL_10,1
Employee_79,SKILL_4,6
Employee_80,SKILL_0,2
Employee_81,SKILL_4,10
Employee_81,SKILL_6,6
Employee_81,SKILL_7,1
Employee_82,SKILL_3,10
Employee_82,SKILL_14,7
Employee_83,SKILL_4,2
Employee_84,SKILL_4,7
Employee_84,SKILL_7,2
Employee_84,SKILL_16,6
Employee_85,SKILL_3,3
Employee_85,SKILL_4,2
Employee_85,SKILL_6,6
Employee_86,SKILL_1,6
Employee_86,SKILL_4,5
Employee_86,SKILL_10,1
Employee_86,SKILL_15,3
Employee_87,SKILL_0,9
Employee_87,SKILL_2,2
Employee_87,SKILL_6,4
Employee_88,SKILL_0,10
Employee_89,SKILL_1,10
Employee_89,SKILL_2,6
Employee_89,SKILL_5,4
Employee_89,SKILL_7,2
Employee_89,SKILL_11,10
Employee_90,SKILL_3,3
Employee_90,SKILL_17,8
Employee_91,SKILL_5,4
Employee_91,SKILL_10,7
Employee_91,SKILL_13,9
Employee_91,SKILL_14,1
Employee_92,SKILL_15,8
Employee_93,SKILL_3,10
Employee_93,SKILL_6,4
Employee_93,SKILL_10,5
Employee_93,SKILL_16,5
Employee_94,SKILL_0,4
Employee_94,SKILL_1,10
Employee_94,SKILL_11,3
Employee_95,SKILL_13,10
Employee_96,SKILL_3,1
Employee_96,SKILL_5,4
Employee_96,SKILL_6,3
Employee_96,SKILL_10,1
Employee_96,SKILL_16,7
Employee_97,SKILL_9,4
Employee_98,SKILL_2,6
Employee_98,SKILL_15,9
Employee_99,SKILL_1,2
Employee_99,SKILL_12,4
Employee_100,SKILL_8,1
Employee_100,SKILL_9,3
Employee_100,SKILL_12,1
Employee_100,SKILL_13,9
Employee_101,SKILL_0,10
Employee_101,SKILL_9,5
Employee_101,SKILL_10,8
Employee_101,SKILL_15,6
Employee_102,SKILL_7,6
Employee_103,SKILL_10,6
Employee_103,SKILL_12,9
Employee_104,SKILL_4,7
Employee_105,SKILL_3,5
Employee_106,SKILL_1,10
Employee_106,SKILL_6,10
Employee_107,SKILL_4,7
Employee_107,SKILL_15,2
Employee_108,SKILL_0,1
Employee_108,SKILL_3,6
Employee_109,SKILL_0,8
Employee_109,SKILL_6,10
Employee_110,SKILL_5,9
Employee_110,SKILL_6,3
Employee_110,SKILL_10,9
Employee_110,SKILL_12,10
Employee_110,SKILL_14,6
Employee_111,SKILL_4,3
Employee_111,SKILL_5,1
Employee_111,SKILL_12,5
Employee_111,SKILL_15,4
Employee_112,SKILL_0,1
Employee_112,SKILL_10,3
Employee_113,SKILL_3,10
Employee_113,SKILL_5,5
Employee_113,SKILL_7,9
Employee_114,SKILL_5,3
Employee_114,SKILL_13,3